Name;address;Ville;CP;telephone;site
 GROUPE  K  ET  B  RESTAURATIO ; 5  av  Charles  Poncet ;74300;CLUSES; 04  50  21  42  51 ;http://www.wactoob.fr
 CHEZ  LINO ; 66  rte  Fruitière ;74650;CHAVANOD; 04  50  19  01  06 ;None
 Alpage  de  la  Vieille ; la  Vieille  D'En  Haut ;74440;MORILLON; 06  84  11  99  27 ;None
 Kebab  Du  Vallon ; 5  pl  Jean  Moulin ;74960; CRAN  GEVRIER ; 06  30  56  39  75 ;None
 La  Cabushe ; rte  Bois  Venants ;74110;MORZINE; 06  09  43  44  46 ;None
 Hotel  L'Alpage ; le  Chinaillon ;74450; LE  GRAND  BORNAND ; 04  50  27  00  49 ;http://www.alpage-hotel-bar-restaurant.com
 Bar  Brasserie  Les  Rhodos ; 140  rte  N-D  de  La  Gorge ;74170; LES  CONTAMINES  MONTJOIE ; 04  50  91  65  50 ;None
 Ristorante  Calabria  Mia  Pizzeria ; 34  rte  Reignier ;74930;SCIENTRIER; 04  50  25  57  64 ;http://www.calabriamia.fr
O'padcha; lieu  dit  Chavanette  -  Mur  Suisse    Avoriaz ;74110;MORZINE; 06  80  95  96  04 ;facebook.com/opadcha
 Hotel  De  L'arcalod ; 237  rte  Gare ;74210;DOUSSARD; 04  50  44  30  22 ;http://www.hotelarcalod.fr
 Pizza  Pepone ; 11  r  Lachat ;74940; ANNECY  LE  VIEUX ; 04  50  09  08  87 ;www.pizza-pepone.fr
 La  Cornette ; 960  les  Raverettes ;74110;MORZINE; 04  50  04  41  05 ;None
3BFOOD; 8  r  Egalité ;74800; LA  ROCHE  SUR  FORON ; 04  50  07  08  14 ;None
 La  récré ; 4  Bis  av  Brogny ;74000;ANNECY; 04  56  73  80  60 ;facebook.com
 L  Etna ; Et  2  Porte  7  27  r  Château  Rouge ;74100;ANNEMASSE; 06  74  64  61  54 ;None
 Bar  Restaurant  Le  Madrigal ; 15  av  Libération ;74950;SCIONZIER; 04  50  89  03  35 ;None
 Le  Pêcheur ; rte  Brune ;74290; VEYRIER  DU  LAC ; 04  50  60  16  03 ;www.facebook.com/Le-P%C3%AAcheur-120965735308
T.R; 104  av  Genève ;74000;ANNECY; 04  50  12  73  62 ;None
 Le  Virage ; 45  r  Pont  Neuf ;74150;RUMILLY; 04  50  64  62  33 ;None
 VERDOULET  LAURE ; 10  r  Muses ;74940; ANNECY  LE  VIEUX ; 06  86  82  63  02 ;None
 Warm  Up ; 1  r  René  Blanc ;74100;ANNEMASSE; 09  72  93  54  76 ;None
 Monster  Burger ; Flaine  Forum ;74300;FLAINE; 06  18  58  76  75 ;None
 My  Ami ; 8  pl  Hôtel  de  Ville ;74200; THONON  LES  BAINS ; 04  50  79  34  33 ;http://www.myami.fr
 Terminal  Neige  -  Refuge  de  Montenvers ; Imp  Montenvers  35  pl  Mer  de  Glace ;74400; CHAMONIX  MONT  BLANC ; 04  50  53  87  70 ;http://montenvers.terminal-neige.com
Subway; Zc  Grand  Epagny  615  av  Centre ;74330; EPAGNY  METZ  TESSY ; 09  51  29  86  64 ;http://www.subwayfrance.fr
 Dolce  Et  Pasta  VIVALPI ; 3  pl  Eglise ;74300;CLUSES; 04  50  47  98  06 ;www.facebook.com
 PV'S  Coffee ; r  Bourg ;74110;MORZINE; 04  50  37  23  36 ;None
 Les  Enfants  Terribles ; 29  r  Ambroise  Martin ;74120;MEGÈVE; 04  50  58  76  69 ;www.hotelmontblanc.com
 Les  Sapins ; 131  Vieille  Route ;74490; SAINT  JEOIRE ; 04  50  35  80  38 ;www.lessapins.fr
 Le  155  Steakhouse ; 155  prom  Festival ;74110;MORZINE; 04  50  74  20  02 ;fr-fr.facebook.com
