,Nom,Adresse,Code_Postal,Ville,Telephone,Site_Internet,Style_Culinaire,Note,Suggestion,Prestation,Horaires,Longitude,Latitude
264,Les Golieres,540 rte Creuses,74650,CHAVANOD,04 50 69 17 29,,cuisine française,3.0,,organisation de réception / jardin / animaux acceptés / terrasse / parking / repas d'affaire / restaurant repas de groupe / accès handicapés / wifi,"['Lundi', '12h00 - 15h00', 'Mardi', '12h00 - 15h00', 'Mercredi', '12h00 - 15h00', 'Jeudi', '12h00 - 15h00', 'Vendredi', '12h00 - 15h00', 'Samedi', 'Dimanche']",,
265,Le Marilyn,Camping Les Charmilles 625 rte Val de Fier,74150,VALLIÈRES,04 50 62 10 60,http://www.lemarilyn.com,,,,"Cafés, bars  / Campings  / Restaurants ","['Lundi', '12h00 - 15h00', 'Mardi', '12h00 - 15h00', 'Mercredi', '12h00 - 15h00', 'Jeudi', '12h00 - 15h00', 'Vendredi', '12h00 - 15h00', '19h00 - 23h45', 'Samedi', '19h00 - 23h45', 'Dimanche']",,
266,La Licorne,imp Grande Terche,74430,SAINT JEAN D'AULPS,04 50 74 00 09,,,,,,,,
267,Grill Le Gron,10 chem Gron,74300,ARÂCHES LA FRASSE,04 50 18 62 12,,cuisine française,3.0,,terrasse / parking / accès handicapés,"['Lundi', '18h30 - 00h00', 'Mardi', '18h30 - 00h00', 'Mercredi', '18h30 - 00h00', 'Jeudi', '18h30 - 00h00', 'Vendredi', '18h30 - 00h00', 'Samedi', '18h30 - 00h00', 'Dimanche', '18h30 - 00h00']",46.02498,6.6410789999999995
268,Pagu's Monchu's Célia,2607 rte St Nicolas,74170,SAINT GERVAIS LES BAINS,04 57 19 05 25,www.facebook.com,cuisine française,5.0,,animaux acceptés / terrasse / parking / facilité bébé / restaurant repas de groupe,"['Lundi', '10h00 - 21h30', 'Mardi', '10h00 - 21h30', 'Mercredi', '10h00 - 21h30', 'Jeudi', '10h00 - 21h30', 'Vendredi', '10h00 - 21h30', 'Samedi', '10h00 - 21h30', 'Dimanche', '10h00 - 21h30']",,
269,Grand Hôtel du Soleil d'Or,255 r Charles Feige,74120,MEGÈVE,04 50 34 31 06,http://www.lesoleildor-megeve.fr,,,,"bar / espace bien être / Hôtels  / Cafés, bars  / Restaurants ",,,
270,Le Carnivore,25 bd Georges Andrier,74200,THONON LES BAINS,04 50 26 43 24,http://lecarnivore-thonon.com,cuisine française,5.0,,animaux acceptés / terrasse / parking / facilité bébé / restaurant repas de groupe,"['Lundi', '19h00 - 00h00', 'Mardi', '19h00 - 00h00', 'Mercredi', '19h00 - 00h00', 'Jeudi', '19h00 - 00h00', 'Vendredi', '19h00 - 00h00', 'Samedi', '19h00 - 00h00', 'Dimanche', '19h00 - 00h00']",,
271,O Sain Sert,17 pl Hôtel de Ville,74150,RUMILLY,06 98 47 62 64,www.facebook.com,,,,Cuisine française ,"['Lundi', '09h00 - 15h00', 'Mardi', '09h00 - 15h00', 'Mercredi', '09h00 - 15h00', 'Jeudi', '09h00 - 15h00', 'Vendredi', '09h00 - 15h00', 'Samedi', 'Dimanche']",,
272,Cfm,103 rte Grangeat,74130,CONTAMINE SUR ARVE,06 17 52 43 09,,,,,,,,
273,Bar Restaurant La Falaise,r Douchka,74110,MORZINE,04 50 74 10 48,http://www.la-falaise-avoriaz.com,cuisine française,5.0,,cheminée / plat à emporter / animaux acceptés / terrasse / parking / Zone fumeur / accès handicapés / climatisation / wifi / brasserie,"['Lundi', '12h00 - 14h30', '19h00 - 21h30', 'Mardi', '12h00 - 14h30', '19h00 - 21h30', 'Mercredi', '12h00 - 14h30', '19h00 - 21h30', 'Jeudi', '12h00 - 14h30', '19h00 - 21h30', 'Vendredi', '12h00 - 14h30', '19h00 - 21h30', 'Samedi', '12h00 - 14h30', '19h00 - 21h30', 'Dimanche', '12h00 - 14h30', '19h00 - 21h30']",,
274,Chez Denis,pln Dranse,74390,CHÂTEL,04 50 73 36 29,,,,,animaux acceptés / terrasse / parking / facilité bébé / restaurant repas de groupe / Restaurants  / Fermes auberges ,"['Lundi', '12h00 - 14h00', 'Mardi', '12h00 - 14h00', 'Mercredi', 'Jeudi', '12h00 - 14h00', 'Vendredi', '12h00 - 14h00', 'Samedi', '12h00 - 14h00', 'Dimanche', '12h00 - 14h00']",,
275,Refuge Gîte de Porcherey,1380 rte Porcherey,74190,SAINT NICOLAS DE VEROCE,06 80 64 01 43,,,,,Refuges de montagne  / Restaurants ,,,
276,Wowo (SARL),366 r 18 Août 1944,74100,ETREMBIÈRES,04 50 31 20 20,www.facebook.com/restaurant.asiatique.etrembieres,,,,Accès internet  / Bar à salade  / Fait maison  / Fruits de mer ,"['Lundi', 'Mardi', '12h00 - 14h30', '19h00 - 22h30', 'Mercredi', '12h00 - 14h30', '19h00 - 22h30', 'Jeudi', '12h00 - 14h30', '19h00 - 22h30', 'Vendredi', '12h00 - 14h30', '19h00 - 22h30', 'Samedi', '12h00 - 14h30', '19h00 - 22h30', 'Dimanche', '12h00 - 14h30', '19h00 - 22h30']",,
277,Bar Semper Fi,13 r Royale,74000,ANNECY,09 53 70 30 53,www.facebook.com,,,,Bars à thèmes  / Restaurants ,,,
278,Les notes Gourmandes,282 r Centre,74260,LES GETS,04 50 79 49 23,http://www.lesnotesgourmandes.fr,,,,wifi,,,
279,La Boucherie,34 r Parc,74100,ANNEMASSE,04 50 38 90 88,http://www.la-boucherie.fr/restaurants/annemasse-74,cuisine française,3.0,Carpaccio de boeuf à basilic / Carpaccio de boeuf à Chèvre chaud et lard / Café ou Chocolat ou Caramel liégois / crème brûlée / Entrecète / Faux-filet,animaux acceptés / grill / terrasse / parking / facilité bébé / restaurant repas de groupe / climatisation,"['Lundi', '11h45 - 14h00', '18h45 - 22h30', 'Mardi', '11h45 - 14h00', '18h45 - 22h30', 'Mercredi', '11h45 - 14h00', '18h45 - 22h30', 'Jeudi', '11h45 - 14h00', '18h45 - 22h30', 'Vendredi', '11h45 - 14h00', '18h45 - 23h00', 'Samedi', '11h45 - 14h00', '18h45 - 23h00', 'Dimanche', '11h45 - 14h00', '18h45 - 22h30']",,
280,L'Ephémère by Garden Cooking,823 rte Albertville,74320,SEVRIER,07 71 70 68 87,www.facebook.com,,,,,,,
281,LE BOSPHORE,1 av Prélevet,74960,CRAN GEVRIER,04 50 69 17 46,,,,,,,,
282,La Cashta Restaurant,Les Esserts,74440,MORILLON,04 50 90 10 97,,,,,terrasse / facilité bébé,"['Lundi', '09h00 - 17h00', 'Mardi', '09h00 - 17h00', 'Mercredi', '09h00 - 17h00', 'Jeudi', '09h00 - 17h00', 'Vendredi', '09h00 - 17h00', 'Samedi', '09h00 - 17h00', 'Dimanche', '09h00 - 17h00']",,
283,BURGER & WELLS,216 av Michel Croz,74400,CHAMONIX MONT BLANC,04 50 96 61 91,http://burgerandwells.com,,,,Burger ,,,
284,Le Chalet du Verard,"Piste du crot, 5240 rte Ardoisières",74110,MORZINE,04 50 83 30 03,www.facebook.com/Lechaletduverard,,,,"parking / Restaurants  / Villages, clubs de vacances ","['Lundi', '08h30 - 18h30', 'Mardi', '08h30 - 18h30', 'Mercredi', '08h30 - 18h30', 'Jeudi', '08h30 - 18h30', 'Vendredi', '08h30 - 18h30', 'Samedi', '08h30 - 18h30', 'Dimanche', '08h30 - 18h30']",,
285,LE SOIXANTE 14 BIS,72 pl Hôtel de Ville,74130,BONNEVILLE,04 57 43 58 74,http://lesoixante14.site-solocal.com,,,,petit déjeuner / fast food / sandwicherie / hamburger / sandwich chaud / burger à emporter / burger / panini / sandwich américain / sandwich froid / tacos / Restauration rapide  / Restaurants ,"['Lundi', 'Mardi', '08h00 - 23h00', 'Mercredi', '08h00 - 23h00', 'Jeudi', '08h00 - 23h00', 'Vendredi', '08h00 - 23h00', 'Samedi', ' 08h00 - 23h00', 'Dimanche', '08h00 - 23h00']",,
286,A La Fertire,38 rte Village,74800,SAINT SIXT,04 50 25 90 29,http://la-fertire.e-monsite.com,restaurant savoyard,4.0,,terrasse / restaurant repas de groupe / climatisation / wifi,"['Lundi', '10h00 - 15h00', 'Mardi', '10h00 - 15h00', '18h30 - 00h00', 'Mercredi', '00h00 - 01h00', '10h00 - 15h00', 'Jeudi', '10h00 - 15h00', '18h30 - 00h00', 'Vendredi', '00h00 - 01h00', '10h00 - 15h00', '18h30 - 00h00', 'Samedi', '00h00 - 01h00', '10h00 - 15h00', '18h30 - 00h00', 'Dimanche', '00h00 - 01h00']",,
287,L'En-Cas Bio,Galerie De L Evêché 9 r Royale,74000,ANNECY,04 50 77 81 92,,cuisine française,4.0,,organisation de réception / plat à emporter / restaurant végétarien / animaux acceptés / terrasse / repas d'affaire / facilité bébé / service continu / restaurant repas de groupe / accès handicapés / restaurant bio,"['Lundi', '11h00 - 15h00', 'Mardi', '10h00 - 18h00', 'Mercredi', '10h00 - 18h00', 'Jeudi', '10h00 - 18h00', 'Vendredi', '10h00 - 18h00', 'Samedi', '10h00 - 18h00', 'Dimanche']",,
288,Best Fried Chicken,31 r Genève,74100,AMBILLY,04 50 74 35 96,,,,,,"['Lundi', 'Mardi', '11h30 - 14h30', '17h30 - 23h30', 'Mercredi', '11h30 - 14h30', '17h30 - 23h30', 'Jeudi', '11h30 - 14h30', '17h30 - 23h30', 'Vendredi', '11h30 - 00h00', 'Samedi', '11h30 - 00h00\n ', 'Dimanche', '11h30 - 00h00']",,
289,La R'Mize,160 r Vieux Village,74260,LES GETS,04 50 79 75 57,http://www.larmize.fr,cuisine française,5.0,,animaux acceptés / terrasse / parking / facilité bébé / restaurant repas de groupe / wifi,"['Lundi', '11h00 - 15h00', '18h00 - 23h00', 'Mardi', '11h00 - 15h00', '18h00 - 23h00', 'Mercredi', '11h00 - 15h00', '18h00 - 23h00', 'Jeudi', '11h00 - 15h00', '18h00 - 23h00', 'Vendredi', '11h00 - 15h00', '18h00 - 23h00', 'Samedi', '11h00 - 15h00', '18h00 - 23h00', 'Dimanche', '11h00 - 15h00', '18h00 - 23h00']",,
290,Sam Angkor,21 fbg Ste Claire,74000,ANNECY,09 53 00 36 31,http://sam-angkor.com,,,,,"['Lundi', '11h30 - 13h30', '18h00 - 21h30', 'Mardi', '11h30 - 13h30', '18h00 - 21h30', 'Mercredi', 'Jeudi', '11h30 - 13h30', '18h00 - 21h30', 'Vendredi', '11h30 - 13h30', '18h00 - 21h30', 'Samedi', '11h30 - 13h30', '18h00 - 21h30', 'Dimanche']",45.897285,6.122875
291,L'Epic,49 pl République,74800,LA ROCHE SUR FORON,04 50 03 19 05,www.facebook.com,,,,,,,
292,Restaurant La Réserve,imm épicéa Avarioz 341 r Traineaux,74110,MORZINE,04 50 74 02 01,http://www.la-reserve-avoriaz.com,cuisine française,2.0,,animaux acceptés / terrasse / facilité bébé / climatisation,,,
293,Le Tréseaur,185 av Mont de Boisy,74890,BONS EN CHABLAIS,04 50 36 33 22,http://www.restaurant-vegetarien-bio-haute-savoie.com,cuisine française,2.0,,restaurant végétarien / plat à emporter / terrasse / parking / restaurant vegan / restaurant repas de groupe / accès handicapés / chef à domicile,"['Lundi', 'Mardi', '12h00 - 13h30', '19h00 - 21h30', 'Mercredi', '12h00 - 13h30', '19h00 - 21h30', 'Jeudi', '12h00 - 13h30', '19h00 - 21h30', 'Vendredi', '12h00 - 13h30', '19h00 - 21h30', 'Samedi', '12h00 - 13h30', '19h00 - 21h30', 'Dimanche', '12h00 - 13h30']",,
294,Modrzejeska Ewa,53 chem Chalere,74170,SAINT GERVAIS LES BAINS,04 50 98 21 93,,,,,,,,
295,BAR CAFE DU PONT MORENS,9 quai Ile,74000,ANNECY,04 50 05 38 12,,cuisine française,5.0,,restaurant végétarien / terrasse / restaurant repas de groupe / brasserie,,,
296,Restaurant Bar Crêperie Le Thovet,rte Vallée du Bouchet,74450,LE GRAND BORNAND,09 82 37 22 62,,cuisine française,1.0,,crêperie / animaux acceptés / terrasse / parking,"['Lundi', 'Mardi', '12h00 - 14h00', '19h00 - 21h30', 'Mercredi', '12h00 - 14h00', '19h00 - 21h30', 'Jeudi', '12h00 - 14h00', '19h00 - 21h30', 'Vendredi', '12h00 - 14h00', '19h00 - 21h30', 'Samedi', '12h00 - 14h00', '19h00 - 21h30', 'Dimanche', '12h00 - 14h00', '19h00 - 21h30']",,
297,PV'S Coffee,r Bourg,74110,MORZINE,04 50 37 23 36,,,,,,,,
