;Nom;Adresse;Code_Postal;Ville;Telephone;Site_Internet;Style_Culinaire;Note;Suggestion;Prestation;Horaires;Longitude;Latitude
1535;COULEUR CAFE;86 av Liberté;06560;VALLAURIS;04 93 34 37 78;;;;;Cafés, bars  / Restaurants ;['Lundi', '08h30 - 15h00', 'Mardi', '08h30 - 15h00', 'Mercredi', '08h30 - 15h00', 'Jeudi', '08h30 - 15h00', 'Vendredi', '08h30 - 15h00', 'Samedi', '08h30 - 15h00', 'Dimanche', '08h30 - 15h00'];;
1536;Le Cocon;1 r Château;06140;TOURRETTES SUR LOUP;04 93 24 16 12;;;;;Cuisine française ;;;
1537;PRIMA PIZZA;13 r Grammont;06100;NICE;04 93 84 57 16;www.facebook.com;restauration rapide;5.0;;plat à emporter;;;
1538;Le Salon Rose;pl Casino;98000;PRINCIPAUTÉ DE MONACO;00 377 98 06 24 05;www.montecarlosbm.com;;;;;['Lundi', '14h00 - 04h00', 'Mardi', '14h00 - 04h00', 'Mercredi', '14h00 - 04h00', 'Jeudi', '14h00 - 04h00', 'Vendredi', '14h00 - 04h00', 'Samedi', '14h00 - 04h00', 'Dimanche', '14h00 - 04h00'];;
1539;Fournil Notre Dame;1430 av N-D de Vie;06250;MOUGINS;04 92 98 66 45;;;;;Boulangeries-pâtisseries (artisans)  / Restaurants ;['Lundi', '06h30 - 18h45', 'Mardi', '06h30 - 18h45', 'Mercredi', '06h30 - 18h45', 'Jeudi', '06h30 - 18h45', 'Vendredi', '06h30 - 18h45', 'Samedi', '06h30 - 18h45', 'Dimanche', '06h30 - 18h45'];;
1540;Olim;12 r Meyerbeer;06000;NICE;07 82 17 13 32;http://www.olim-boutique.com/;;;;Salons de thé  / Restaurants ;['Lundi', '10h00 - 18h00', 'Mardi', '10h00 - 18h00', 'Mercredi', '10h00 - 18h00', 'Jeudi', '10h00 - 18h00', 'Vendredi', '10h00 - 18h00', 'Samedi', '10h00 - 18h00', 'Dimanche', '10h00 - 18h00'];;
1541;La Mandibule;1014 prom Soleil;06500;MENTON;04 93 28 41 95;;cuisine française;1.0;;jardin / animaux acceptés / terrasse / Zone fumeur / dîner spectacle / wifi;['Lundi', '07h30 - 02h30', 'Mardi', '07h30 - 02h30', 'Mercredi', '07h30 - 02h30', 'Jeudi', '07h30 - 02h30', 'Vendredi', '07h30 - 02h30', 'Samedi', '07h30 - 02h30', 'Dimanche', '07h30 - 02h30'];;
1542;PACHA DR FALAFELS;14 r Hélène Vagliano;06150;CANNES;04 93 30 09 99;;;;;plat à emporter / terrasse / restaurant repas de groupe;;;
1543;Saore;6 pl Grand Jardin;06140;VENCE;04 93 58 51 40;www.facebook.com;;;;organisation de réception / animaux acceptés / terrasse / repas d'affaire / bistrot / Zone fumeur / restaurant repas de groupe / accès handicapés / climatisation / wifi / chef à domicile / brasserie;['Lundi', '09h00 - 00h00\n ', 'Mardi', '09h00 - 00h00', 'Mercredi', '09h00 - 00h00', 'Jeudi', '09h00 - 00h00', 'Vendredi', '09h00 - 00h00', 'Samedi', '09h00 - 00h00', 'Dimanche', '09h00 - 00h00'];;
1544;Snack Chez Josy;port Marina Baie des Anges;06270;VILLENEUVE LOUBET;06 10 25 56 57;http://www.chezjosymarinabaiedesanges.com;;;;;;;
1545;Bsl Management Le Donjon;1 pl Francis Paulet;06620;LE BAR SUR LOUP;04 93 77 53 92;www.facebook.com;cuisine française;4.0;;terrasse / parking / repas d'affaire / restaurant repas de groupe / wifi;['Lundi', '12h00 - 15h00', '19h00 - 23h00', 'Mardi', '12h00 - 15h00', '19h00 - 23h00', 'Mercredi', '12h00 - 15h00', '19h00 - 23h00', 'Jeudi', '12h00 - 15h00', '19h00 - 23h00', 'Vendredi', '12h00 - 15h00', '19h00 - 23h00\n ', 'Samedi', '12h00 - 15h00', '19h00 - 23h00', 'Dimanche', '12h00 - 15h00', '19h00 - 23h00'];;
